factor,factor_title,class,label,S_i,area_pct,N_i_train,N_i_all,FR,FRn,FR_gt_1,src_min,src_max,src_mean
rainfall,Rainfall (CHIRPS mean annual),1,Q1 lowest 20% [src 1980 to 2245],765647,20.0,3,5,1.0,0.375,False,1980.219970703125,2244.681396484375,2169.590087890625
rainfall,Rainfall (CHIRPS mean annual),2,Q2 [src 2245 to 2386],765647,20.0,3,4,1.0,0.375,False,2244.681640625,2385.651123046875,2316.57470703125
rainfall,Rainfall (CHIRPS mean annual),3,Q3 [src 2386 to 2510],765647,20.0,8,12,2.6666666666666665,1.0,True,2385.651611328125,2509.686767578125,2445.67529296875
rainfall,Rainfall (CHIRPS mean annual),4,Q4 [src 2510 to 2668],765649,20.000052,1,1,0.33333246261232846,0.12499967347962318,False,2509.68701171875,2668.4306640625,2577.028076171875
rainfall,Rainfall (CHIRPS mean annual),5,Q5 highest 20% [src 2668 to 3021],765645,19.999948,0,0,0.0,0.0,False,2668.430908203125,3020.931396484375,2807.115478515625
earthquake,Earthquake magnitude (Sonker reclass),2,Sonker M class 2,136813,3.573788,0,0,0.0,0.0,False,,,
earthquake,Earthquake magnitude (Sonker reclass),3,Sonker M class 3,3681154,96.157994,15,22,1.0399551336347244,1.0,True,,,
earthquake,Earthquake magnitude (Sonker reclass),4,Sonker M class 4,8765,0.228957,0,0,0.0,0.0,False,,,
slope,Slope,1,0-15 deg (Sonker) [src 0 to 17],950847,24.837739,3,4,0.8052262877203168,0.5673821340341823,False,0.0,16.999998092651367,11.54676628112793
slope,Slope,2,15-25 deg [src 17 to 33],1922456,50.217816,7,10,0.9292850742314346,0.6547969888517606,False,17.000003814697266,32.99999237060547,24.906448364257812
slope,Slope,3,25-35 deg [src 33 to 50],899156,23.487482,5,8,1.41919570500929,1.0,True,33.000003814697266,49.99983596801758,38.95792770385742
slope,Slope,4,35-45 deg [src 50 to 66.99],55494,1.449598,0,0,0.0,0.0,False,50.000125885009766,66.9892349243164,53.68029022216797
slope,Slope,5,>45 deg [src 67 to 72.65],282,0.007366,0,0,0.0,0.0,False,67.00358581542969,72.65335083007812,68.37786865234375
altitude,Altitude,1,221-1500 m (Sonker) [src 20 to 1500],3783437,98.8298,15,22,1.0118405566155853,1.0,True,20.0,1499.99365234375,633.9212036132812
altitude,Altitude,2,1500-2500 m [src 1500 to 1906],44798,1.1702,0,0,0.0,0.0,False,1500.0086669921875,1906.4912109375,1628.7572021484375
drainage_dist,Distance to drainages,1,0-100 m [src 0 to 297],1409082,36.807615,1,3,0.18112194085700242,0.057509144251363664,False,0.0,296.98486328125,143.10269165039062
drainage_dist,Distance to drainages,2,100-200 m [src 300 to 597.7],1171169,30.592923,3,6,0.6537459580982762,0.20757491019656432,False,300.0,597.7457275390625,440.4252624511719
drainage_dist,Distance to drainages,3,200-300 m [src 600 to 899],810351,21.167744,10,11,3.1494459396812817,1.0,True,600.0,898.9994506835938,732.7673950195312
drainage_dist,Distance to drainages,4,300-400 m [src 900 to 1199],345501,9.025073,1,2,0.7386828595768657,0.2345437495115789,False,900.0,1198.87451171875,1016.6345825195312
drainage_dist,Distance to drainages,5,>400 m [src 1200 to 2697],92132,2.406644,0,0,0.0,0.0,False,1200.0,2696.66455078125,1387.1422119140625
tri,Topographic roughness index (TRI),1,Sonker TRI 1 [src 0 to 0.3525],915,0.023901,0,0,0.0,0.0,False,0.0,0.35245710611343384,0.01397575344890356
tri,Topographic roughness index (TRI),2,Sonker TRI 2 [src 0.3609 to 0.4499],23,0.000601,0,0,0.0,0.0,False,0.36089298129081726,0.4499315321445465,0.40195509791374207
tri,Topographic roughness index (TRI),3,Sonker TRI 3 [src 0.4526 to 0.5095],22,0.000575,0,0,0.0,0.0,False,0.452558696269989,0.5095025300979614,0.4888192117214203
tri,Topographic roughness index (TRI),4,Sonker TRI 4 [src 0.5144 to 0.5895],22,0.000575,0,0,0.0,0.0,False,0.5144140124320984,0.589492678642273,0.5513832569122314
tri,Topographic roughness index (TRI),5,Sonker TRI 5 (roughest) [src 0.5914 to 243.9],3827253,99.974348,15,22,1.0002565808949657,1.0,True,0.5914016962051392,243.8804931640625,42.32691955566406
geomorphology,Geomorphology,2,class 2 [src 1 to 1],45,0.001175,0,0,0.0,0.0,False,1.0,1.0,1.0
geomorphology,Geomorphology,3,class 3 [src 2 to 10],1892030,49.423037,6,11,0.8093391753830542,0.6822161029863868,False,2.0,10.0,5.609208099237327
geomorphology,Geomorphology,4,class 4 [src 6 to 8],1936160,50.575788,9,11,1.186338422444426,1.0,True,6.0,8.0,6.373636992810511
geology,Geology (GLiM),1,su Unconsolidated sediments,3828084,99.996056,15,22,1.0000394453204267,1.0,True,,,
soil,"Soil (India NBSS, not SoilGrids)",1,class 1,3175949,82.961182,13,20,1.0446652848224787,1.0,True,,,
soil,"Soil (India NBSS, not SoilGrids)",2,class 2,610595,15.949778,2,2,0.8359572766454578,0.800215426692879,False,,,
soil,"Soil (India NBSS, not SoilGrids)",4,class 4,41691,1.08904,0,0,0.0,0.0,False,,,
gravity,Simple Bouguer gravity anomaly,1,Q1 lowest 20% [src -315.7 to -193.1],765647,20.0,0,0,0.0,0.0,False,-315.6966247558594,-193.09686279296875,-228.07611083984375
gravity,Simple Bouguer gravity anomaly,2,Q2 [src -193.1 to -140.8],765648,20.000026,6,8,1.9999973878335737,0.7499980408751802,True,-193.09681701660156,-140.7693328857422,-166.67222595214844
gravity,Simple Bouguer gravity anomaly,3,Q3 [src -140.8 to -96.96],765646,19.999974,8,10,2.6666701495643332,1.0,True,-140.76930236816406,-96.96221923828125,-118.34797668457031
gravity,Simple Bouguer gravity anomaly,4,Q4 [src -96.96 to -49.6],765648,20.000026,1,3,0.3333328979722623,0.1249996734791967,False,-96.9621353149414,-49.59864807128906,-73.95072174072266
gravity,Simple Bouguer gravity anomaly,5,Q5 highest 20% [src -49.6 to 72.69],765646,19.999974,0,1,0.0,0.0,False,-49.5986328125,72.69384765625,-17.019813537597656
faults_dist,Distance to faults,1,Sonker fault-dist 1 (nearest) [src 0 to 997],248918,6.502161,1,2,1.0253001657841805,0.3230314132900526,True,0.0,997.0,501.89031982421875
faults_dist,Distance to faults,2,class 2 [src 1001 to 1998],240479,6.28172,0,0,0.0,0.0,False,1001.0,1998.0,1499.234130859375
faults_dist,Distance to faults,3,class 3 [src 2001 to 3000],244184,6.378501,0,3,0.0,0.0,False,2001.0,3000.0,2501.846435546875
faults_dist,Distance to faults,4,class 4 [src 3001 to 3999],241225,6.301207,3,3,3.173995232666598,1.0,True,3001.0,3999.0,3506.869384765625
faults_dist,Distance to faults,5,class 5 (farthest) [src 4001 to 2.081e+04],2853429,74.536412,11,14,0.9838591860296272,0.3099750043427281,False,4001.0,20810.0,10377.5439453125
sti,Stream transport index (STI),1,Sonker STI 1 [src 0.003478 to 3.22],204713,5.347451,1,1,1.2466998513365868,0.7146553956026243,True,0.003477630205452442,3.219996452331543,1.982128620147705
sti,Stream transport index (STI),2,STI 2 [src 3.22 to 12.86],1278099,33.386117,6,9,1.198102807372512,0.6867977363255898,True,3.2200021743774414,12.859989166259766,8.05754280090332
sti,Stream transport index (STI),3,STI 3 [src 12.86 to 32.15],1360975,35.550978,4,8,0.7500965606764758,0.42998365142636713,False,12.860002517700195,32.14992904663086,20.916919708251953
sti,Stream transport index (STI),4,STI 4 [src 32.15 to 70.73],585197,15.28634,4,4,1.7444769311303145,1.0,True,32.15001678466797,70.72998809814453,45.68613815307617
sti,Stream transport index (STI),5,STI 5 [src 70.73 to 7.571e+04],399251,10.429114,0,0,0.0,0.0,False,70.73004913330078,75711.703125,405.6702575683594
twi,Topographic wetness index (TWI),1,Sonker TWI 1 [src 2.293 to 4.65],1360517,35.539015,4,8,0.7503490707331599,0.5546177733103732,False,2.29327654838562,4.649999141693115,4.173651695251465
twi,Topographic wetness index (TWI),2,TWI 2 [src 4.65 to 8.19],2075059,54.204065,11,13,1.3529120537456203,1.0,True,4.65000057220459,8.189993858337402,5.76509952545166
twi,Topographic wetness index (TWI),3,TWI 3 [src 8.19 to 11.73],317034,8.281467,0,1,0.0,0.0,False,8.19000244140625,11.729999542236328,9.477812767028809
